benchmark_dir            ,name                                                                          ,length ,PEG2PEGTIME ,PBTIME ,ENGINETIME ,Optimization took ,nodes: ,values:
uninlined-spec/scimark/  ,"FFT: long inst_main(java.lang.String[])"                                     ,2      ,165         ,133    ,2          ,173               ,10     ,10
uninlined-spec/scimark/  ,"kernel: double[] RandomizeVector(double[],Random)"                           ,3      ,1720        ,1537   ,158        ,1739              ,892    ,615
uninlined-spec/scimark/  ,"kernel: double[][] RandomizeMatrix(double[][],Random)"                       ,4      ,2405        ,2176   ,212        ,2447              ,695    ,1178
uninlined-spec/scimark/  ,"kernel: void <clinit>()"                                                     ,-1     ,215         ,188    ,3          ,227               ,57     ,57
uninlined-spec/scimark/  ,"kernel: double[] RandomVector(int,Random)"                                   ,4      ,2746        ,2561   ,163        ,2764              ,1080   ,759
uninlined-spec/scimark/  ,"kernel: void init()"                                                         ,44     ,223         ,205    ,6          ,296               ,139    ,139
uninlined-spec/scimark/  ,"kernel: double[] matvec(double[][],double[])"                                ,9      ,190         ,163    ,1          ,197               ,17     ,17
uninlined-spec/scimark/  ,"kernel: double normabs(double[],double[])"                                   ,5      ,1722        ,1374   ,332        ,1769              ,735    ,872
uninlined-spec/scimark/  ,"kernel: double[][] RandomMatrix(int,int,Random)"                             ,5      ,1193        ,936    ,239        ,1228              ,824    ,1158
uninlined-spec/scimark/  ,"kernel: void CopyVector(double[],double[])"                                  ,3      ,1959        ,1686   ,254        ,1985              ,1346   ,970
uninlined-spec/scimark/  ,"kernel: void CopyMatrix(double[][],double[][])"                              ,15     ,13110       ,12674  ,420        ,13202             ,843    ,1886
uninlined-spec/scimark/  ,"kernel: double[] NewVectorCopy(double[])"                                    ,5      ,3416        ,2847   ,536        ,3454              ,1352   ,977
uninlined-spec/scimark/  ,"kernel: void <init>()"                                                       ,-1     ,228         ,155    ,5          ,309               ,10     ,10
uninlined-spec/scimark/  ,"kernel: void checkResults(java.lang.String,java.lang.String,int)"            ,8      ,213         ,190    ,1          ,242               ,61     ,61
uninlined-spec/scimark/  ,"kernel: void matvec(double[][],double[],double[])"                           ,9      ,5077        ,4856   ,198        ,5121              ,823    ,1430
uninlined-spec/scimark/  ,"Stopwatch: void start()"                                                     ,5      ,172         ,146    ,6          ,193               ,28     ,28
uninlined-spec/scimark/  ,"Stopwatch: double seconds()"                                                 ,1      ,242         ,157    ,11         ,297               ,14     ,13
uninlined-spec/scimark/  ,"Stopwatch: void <init>()"                                                    ,-1     ,158         ,135    ,2          ,163               ,13     ,13
uninlined-spec/scimark/  ,"Stopwatch: double read()"                                                    ,5      ,174         ,147    ,9          ,189               ,40     ,38
uninlined-spec/scimark/  ,"Stopwatch: double stop()"                                                    ,5      ,181         ,154    ,9          ,196               ,37     ,35
uninlined-spec/scimark/  ,"Stopwatch: void resume()"                                                    ,4      ,165         ,141    ,5          ,175               ,24     ,24
uninlined-spec/scimark/  ,"Stopwatch: void reset()"                                                     ,3      ,166         ,135    ,3          ,174               ,17     ,17
inlined-spec/scimark/    ,"LU: int[] new_copy(int[])"                                                   ,5      ,2665        ,2435   ,204        ,2683              ,1346   ,971
inlined-spec/scimark/    ,"LU: int[] getPivot()"                                                        ,5      ,3441        ,3265   ,154        ,3459              ,1173   ,871
inlined-spec/scimark/    ,"LU: double[][] getLU()"                                                      ,10     ,4305        ,4049   ,241        ,4347              ,1103   ,1341
inlined-spec/scimark/    ,"LU: void insert_copy(double[][],double[][])"                                 ,15     ,62514       ,62245  ,241        ,62590             ,851    ,1858
inlined-spec/scimark/    ,"LU: double[] new_copy(double[])"                                             ,5      ,2465        ,1928   ,499        ,2494              ,1358   ,985
inlined-spec/scimark/    ,"LU: double[] solve(double[])"                                                ,26     ,-1          ,-1     ,-1         ,-1                ,711    ,1640
inlined-spec/scimark/    ,"LU: void <init>(int)"                                                        ,-1     ,238         ,157    ,5          ,321               ,14     ,14
